domena,ID reg,ID drzitela,Stav domeny,NS1,NS2,NS3,NS4,datum exspiracie
rockfabric.sk,ELBI-0002,ELB-QW17S2LRWJYO,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,12.01.2020
rockfarm.sk,WEBS-0001,WS-54512,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,05.11.2020
rockgym.sk,ELBI-0002,ROMA-0766-1465,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,21.02.2020
rocknrollnight.sk,WEBS-0001,WS-9798,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,29.10.2020
rocko-vinyl.sk,WEBS-0001,WS-4092,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,09.05.2020
rockovinyl.sk,WEBS-0001,WS-4092,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,09.05.2020
rockprint.sk,WEBG-0001,ROCK-0016,OK,dns1.syphon.sk,dns2.syphon.sk,dns3.syphon.sk,,21.11.2020
rocnekontrolyihrisk.sk,WEBS-0001,WS-63079,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,13.06.2020
rodinka-spolu.sk,WEBS-0001,WS-25192,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,05.05.2020
rodinnaanglictina.sk,WEBS-0001,WS-59203,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,22.07.2020
rodinnamasaz.sk,WEBS-0001,WS-65367,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,09.04.2020
rodinnevylety.sk,JEEF-0001,JEEF-0001,OK,ns.jeef.sk,ns2.jeef.sk,ns3.jeef.sk,ns4.jeef.sk,12.10.2020
rodinnymakler.sk,WEBS-0001,WS-64908,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,02.04.2020
rodnekorene.sk,WEBG-0001,WY-81077,OK,dns1.syphon.sk,dns2.syphon.sk,dns3.syphon.sk,,03.11.2020
rodnylist.sk,ISKI-0001,FORPSI-S644005,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,27.09.2020
